2026-09-13T19:16:52.379+08:00 DEBUG 4776 --- [expense] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\Adrian Tang\git\repository\expense\target\classes\com\app\expense\repository\DailyExpenseRepository.class]
2026-09-13T19:16:52.407+08:00 DEBUG 4776 --- [expense] [restartedMain] ssPathScanningCandidateComponentProvider : Identified candidate component class: file [C:\Users\Adrian Tang\git\repository\expense\target\classes\com\app\expense\service\ExpenseServiceImpl.class]
2026-09-13T19:16:52.418+08:00  INFO 4776 --- [expense] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 54 ms. Found 1 JPA repository interface.
2026-09-13T19:16:52.519+08:00 DEBUG 4776 --- [expense] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
2026-09-13T19:16:52.524+08:00 DEBUG 4776 --- [expense] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.devtools.autoconfigure.DevToolsDataSourceAutoConfiguration$DatabaseShutdownExecutorEntityManagerFactoryDependsOnPostProcessor'
2026-09-13T19:16:52.524+08:00 DEBUG 4776 --- [expense] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.sql.init.dependency.DatabaseInitializationDependencyConfigurer$DependsOnDatabaseInitializationPostProcessor'
2026-09-13T19:16:52.551+08:00 DEBUG 4776 --- [expense] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
2026-09-13T19:16:52.555+08:00 DEBUG 4776 --- [expense] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'bootstrapExecutorAliasPostProcessor'
2026-09-13T19:16:52.560+08:00 DEBUG 4776 --- [expense] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'preserveErrorControllerTargetClassPostProcessor'
2026-09-13T19:16:52.564+08:00 DEBUG 4776 --- [expense] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
